StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,X
32,5,190512,0.12,13.5,1.95,1.95,-0.69,1.58,0,1596,-1.52,0.83,-0.18,0.35,0.3,0.24,0.29,5.9,21.1,NA
32,5,190601,0.61,10.7,1.98,1.98,0.69,1.85,0,1683,0.64,-0.36,0.86,-0.01,0.59,0.33,0.35,2.1,19.4,NA
32,5,190602,0.08,7.4,1.54,1.54,-0.71,1.04,0,1613,-2.01,-0.36,-1.08,-0.26,0.51,0.25,0.25,-2.1,16.8,NA
32,5,190603,0.33,15.8,1.11,1.11,-0.8,0.23,0,1525,-0.93,-1.82,-1,-0.69,0.09,0.1,0.16,6.4,25.2,NA
32,5,190604,1.42,47.4,0.64,0.64,-1.08,-0.68,6,534,0.24,-0.25,-0.68,-0.04,-0.39,0.29,0.17,34.5,60.3,NA
32,5,190605,5.12,51.7,2.43,2.43,5.58,2.43,9,422,1.65,1.52,1.22,0.93,0.62,1.1,0.92,40.9,62.6,NA
32,5,190606,4.2,62.7,2.92,2.92,2.22,2.92,66,135,0.62,1.66,1.52,1.19,0.9,1,0.28,51.7,73.6,NA
32,5,190607,1.66,67.2,2.66,2.66,0.1,2.63,130,62,-0.82,-0.16,0.93,0.53,0.73,0.33,0.05,55.2,79.3,NA
32,5,190608,1.54,65.9,2.32,2.32,-0.18,2.16,104,76,-0.56,-1.04,-0.48,0.39,0.18,0.09,0.09,53.6,78.2,NA
32,5,190609,1,62.4,1.55,1.55,-1.61,0.65,62,140,-0.48,-0.85,-1.24,0.33,0.11,-0.03,0.1,48.6,76.1,NA
32,5,190610,0.42,44.2,0.89,0.89,-1.48,-0.61,0,645,-0.75,-0.94,-1.23,0.01,-0.25,-0.06,0.02,31.7,56.8,NA
32,5,190611,1.1,24,1.25,1.25,1.34,0.3,0,1230,1,-0.05,-0.46,-0.74,0.03,-0.16,0.22,16.2,31.7,NA
32,5,190612,1.08,6.2,1.81,1.81,2.07,1.53,0,1823,1.58,1.51,0.41,-0.92,0.37,0.15,0.34,-2.6,15.1,NA
32,5,190701,1.47,-6.4,2.71,2.71,3.28,2.71,0,2213,2.28,2.46,2.15,0.06,0.67,0.4,0.58,-14.4,1.5,NA
32,5,190702,0.26,9.2,2.44,2.44,0.02,2.39,0,1562,-0.42,1.58,1.88,0.39,-0.19,0.44,0.56,0.1,18.4,NA
32,5,190703,0.59,22.7,2.29,2.29,0.31,2.29,0,1311,-0.16,-0.55,0.98,0.76,-0.55,0.55,0.5,12.2,33.3,NA
32,5,190704,0.36,32.7,1.98,1.98,-0.23,1.81,0,969,-1.45,-1.38,-1.59,0.62,-0.61,0.18,0.45,22.1,43.2,NA
32,5,190705,1.09,44.9,1.72,1.72,-0.17,1.41,0,623,-1.04,-1.64,-1.68,-0.63,-0.8,-1.03,0,31.4,58.4,NA
32,5,190706,2.74,62.4,1.39,1.39,-0.47,0.82,63,141,-0.39,-1.08,-1.46,-1.11,-0.86,-1.38,-0.39,50.8,74,NA
32,5,190707,4.07,66.5,2.38,2.38,3.4,2.38,118,72,1,0.33,-0.37,-0.86,-0.1,-0.65,-0.26,54,78.9,NA
32,5,190708,1.52,65.2,-0.05,2.08,-0.14,1.96,93,86,-0.59,0.39,-0.06,-0.95,-0.49,-0.67,-0.43,51.5,78.9,NA
32,5,190709,1.24,51.4,-0.02,1.89,0.07,1.73,0,412,-0.2,-0.67,0.15,-1.01,-0.78,-0.63,-0.53,38.8,64.1,NA
32,5,190710,0.84,42.4,-0.11,1.61,-0.27,1.26,0,701,-0.09,-0.37,-0.78,-0.81,-1.22,-0.57,-0.45,28.7,56.2,NA
32,5,190711,0.1,27.8,-0.49,1.05,-1.17,0.15,0,1116,-1.15,-0.7,-0.73,-0.5,-1.25,-0.86,-0.75,17,38.5,NA
32,5,190712,0.16,18.6,-0.75,0.63,-0.95,-0.66,0,1438,-1.25,-2.49,-1.13,-0.37,-1.34,-1.13,-0.64,8.8,28.4,NA
32,5,190801,0.07,15.9,-1.14,-1.14,-1.38,-1.14,0,1522,-1.78,-2.22,-2.87,-1.52,-1.15,-1.5,-0.75,4.3,27.5,NA
32,5,190802,0.83,12.2,0.34,-0.68,1.02,0.08,0,1478,1.17,0.13,-0.46,-0.91,-0.63,-1.31,-0.56,3.7,20.6,NA
32,5,190803,1.09,20.2,0.52,0.52,0.66,0.52,0,1389,0.81,1.21,0.55,-0.55,-0.21,-1.2,-0.38,10.4,30,NA
32,5,190804,1.3,43.3,0.23,0.23,-0.71,-0.24,0,651,0.11,0.39,0.68,-0.42,-0.92,-0.93,-0.42,30.1,56.5,NA
32,5,190805,2.56,50.7,0.58,0.58,1.13,0.58,7,451,0.2,0.08,0.27,0.07,-0.45,-0.46,-1.11,38.3,63,NA
32,5,190806,3.34,61.1,0.62,0.62,0.28,0.62,47,164,0.06,0,-0.05,0.08,-0.41,-0.3,-1.29,50.6,71.6,NA
32,5,190807,2.92,69.3,0.67,0.67,0.35,0.67,171,38,0.28,0.05,0.02,0.23,-0.24,-0.58,-0.93,55.7,82.9,NA
32,5,190808,3.02,63.4,1.28,1.28,2.04,1.28,66,116,0.81,0.56,0.35,0.37,0.25,-0.17,-0.62,49.3,77.5,NA
32,5,190809,0.69,60.9,-0.75,-0.75,-2.24,-0.75,45,168,-0.91,0,0.06,-0.03,0.06,-0.33,-0.75,47.4,74.4,NA
32,5,190810,1.24,42,0.13,0.13,0.39,-0.54,0,713,0.34,-0.49,0.03,-0.05,0.15,-0.26,-0.59,31.7,52.3,NA
32,5,190811,1.14,28.8,0.61,0.61,1.47,0.61,0,1086,1.04,0.66,-0.08,0.19,0.19,0.08,-0.58,19.5,38.1,NA
32,5,190812,0.41,12.6,-0.01,-0.01,-0.02,0.54,0,1624,-0.12,0.83,0.55,0.26,0.07,0.16,-0.63,3.8,21.4,NA
32,5,190901,0.22,2.4,-0.24,-0.24,-0.7,0.25,0,1941,-0.71,-0.62,0.42,0.11,0,0.19,-0.91,-6.7,11.5,NA
32,5,190902,0.22,8.3,-0.41,-0.41,-0.58,-0.41,0,1588,-0.62,-1.1,-0.97,-0.42,-0.02,0.01,-0.89,0.1,16.5,NA
32,5,190903,0.24,22.6,-0.86,-0.86,-1.48,-0.86,0,1314,-1.31,-1.63,-1.71,-0.22,-0.14,-0.22,-0.98,14.5,30.7,NA
32,5,190904,0.56,34.1,-1.03,-1.03,-0.78,-1.03,0,927,-0.98,-1.68,-1.96,-1.19,-0.65,-0.5,-0.94,23,45.1,NA
